ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Meters
6287,3838 - 3790,3838,3790,50,4141.844532231939400
6288,3838 - 4060,3838,4060,51,4146.655873413330500
6289,3838 - 2567,3838,2567,52,4229.952496610274500
6290,3838 - 2563,3838,2563,53,4237.461854029819700
6291,3838 - 3377,3838,3377,54,4271.302545396468300
6292,3838 - 4048,3838,4048,55,4314.738873034644700
6293,3838 - 4055,3838,4055,56,4361.046322559695000
6294,3838 - 2711,3838,2711,57,4375.011870409153700
6295,3838 - 3687,3838,3687,58,4531.497490774971100
6296,3838 - 2542,3838,2542,59,4567.654707339786900
6297,3838 - 2570,3838,2570,60,4627.773850650366500
6298,3838 - 3686,3838,3686,61,4653.536411767167000
6299,3838 - 4057,3838,4057,62,4664.021903226621400
6300,3838 - 2707,3838,2707,63,4768.107082569832500
6301,3838 - 2503,3838,2503,64,4778.669595524854200
6302,3838 - 2504,3838,2504,65,5042.617412881336300
6303,3838 - 3791,3838,3791,66,5089.599957044298200
6304,3838 - 3292,3838,3292,67,5101.435278915021600
6305,3838 - 2574,3838,2574,68,5137.699598339715500
6306,3838 - 2822,3838,2822,69,5275.879805819635300
6307,3838 - 2572,3838,2572,70,5497.993391750416800
6308,3838 - 4059,3838,4059,71,5525.022357703312100
6309,3838 - 2544,3838,2544,72,5593.270613202537800
6310,3838 - 4058,3838,4058,73,5791.104375305880200
6311,3838 - 3293,3838,3293,74,6053.050334663754300
6312,3838 - 2823,3838,2823,75,6194.796418120764400
6313,3838 - 4061,3838,4061,76,6914.273482202462200
6314,3838 - 4062,3838,4062,77,7551.891310848384800
6315,2544 - 2544,2544,2544,1,0.000000000000000
6316,2544 - 2822,2544,2822,2,435.167612648384990
6317,2544 - 3293,2544,3293,3,480.454613624234750
6318,2544 - 2823,2544,2823,4,642.362573846344620
6319,2544 - 4057,2544,4057,5,1047.025515241399000
6320,2544 - 3292,2544,3292,6,1059.810782921999800
6321,2544 - 2542,2544,2542,7,1375.290018474634100
6322,2544 - 4055,2544,4055,8,1378.690158818025800
6323,2544 - 4054,2544,4054,9,1610.222873644295800
6324,2544 - 3660,2544,3660,10,1764.595458628325800
6325,2544 - 4052,2544,4052,11,1893.314739393019000
6326,2544 - 2568,2544,2568,12,2095.464809252805000
6327,2544 - 4062,2544,4062,13,2227.364584218555600
6328,2544 - 2569,2544,2569,14,2321.385671267671100
6329,2544 - 2571,2544,2571,15,2548.383683704830200
6330,2544 - 2565,2544,2565,16,2562.430722534407800
6331,2544 - 2498,2544,2498,17,2637.544719372341700
6332,2544 - 4059,2544,4059,18,2729.088841232126900
6333,2544 - 4051,2544,4051,19,2743.363962108343000
6334,2544 - 4060,2544,4060,20,2761.542925954792300
6335,2544 - 3390,2544,3390,21,2766.272209728326700
6336,2544 - 2562,2544,2562,22,2835.373865774532100
6337,2544 - 2539,2544,2539,23,2854.515483334181700
6338,2544 - 4061,2544,4061,24,2864.982412864477300
6339,2544 - 2563,2544,2563,25,2881.733571180102400
